sfen	depth	ev	mate	nodes	best	pv
r1b2rk1/1p1nbppp/p1pq1n2/3pp3/1PP5/P1N1PN2/1BQPBPPP/R3K2R w KQ -	8	107	False	2627	c4c5	['c4c5', 'd6b8', 'e1g1']
r1b2rk1/1p1nbppp/p1pq1n2/3pp3/1PP5/P1N1PN2/1BQPBPPP/R3K2R w KQ -	9	49	False	8706	c4c5	['c4c5', 'd6b8', 'c3a4', 'e7d8', 'a4b6', 'd8b6', 'c5b6']
r1b2rk1/1p1nbppp/p1pq1n2/3pp3/1PP5/P1N1PN2/1BQPBPPP/R3K2R w KQ -	10	55	False	23358	f3h4	['f3h4', 'f8e8', 'h4f5', 'd6e6']
1rq1nrk1/4b1pp/p2pp3/P1p5/1p2P3/3Q1N2/1PP2PPP/R1B1R1K1 w - -	1	114	False	47	e4e5	['e4e5']
1rq1nrk1/4b1pp/p2pp3/P1p5/1p2P3/3Q1N2/1PP2PPP/R1B1R1K1 w - -	2	140	False	124	d3c4	['d3c4']
1rq1nrk1/4b1pp/p2pp3/P1p5/1p2P3/3Q1N2/1PP2PPP/R1B1R1K1 w - -	3	140	False	179	d3c4	['d3c4']
1rq1nrk1/4b1pp/p2pp3/P1p5/1p2P3/3Q1N2/1PP2PPP/R1B1R1K1 w - -	4	140	False	226	d3c4	['d3c4']
1rq1nrk1/4b1pp/p2pp3/P1p5/1p2P3/3Q1N2/1PP2PPP/R1B1R1K1 w - -	5	246	False	273	d3c4	['d3c4']
1rq1nrk1/4b1pp/p2pp3/P1p5/1p2P3/3Q1N2/1PP2PPP/R1B1R1K1 w - -	6	133	False	784	h2h4	['h2h4', 'e6e5', 'c1g5']
1rq1nrk1/4b1pp/p2pp3/P1p5/1p2P3/3Q1N2/1PP2PPP/R1B1R1K1 w - -	7	141	False	1399	b2b3	['b2b3', 'e6e5', 'c1g5']
1rq1nrk1/4b1pp/p2pp3/P1p5/1p2P3/3Q1N2/1PP2PPP/R1B1R1K1 w - -	8	71	False	6517	h2h4	['h2h4', 'c5c4', 'd3e2', 'h7h6', 'b2b3']
1rq1nrk1/4b1pp/p2pp3/P1p5/1p2P3/3Q1N2/1PP2PPP/R1B1R1K1 w - -	9	65	False	11858	h2h4	['h2h4', 'c5c4', 'd3e2', 'h7h6', 'c1e3', 'f8f7', 'a1d1', 'b8b5', 'd1d4']
1rq1nrk1/4b1pp/p2pp3/P1p5/1p2P3/3Q1N2/1PP2PPP/R1B1R1K1 w - -	10	54	False	28389	h2h4	['h2h4', 'c5c4', 'd3e2', 'h7h6', 'c1e3', 'f8f7', 'e3b6', 'e6e5', 'b2b3']
r2qk2r/pp1nbpp1/2p4p/3p4/3P4/2NBPPn1/PPQ2P1P/R3K2R w KQkq -	1	62	False	42	h2g3	['h2g3']
r2qk2r/pp1nbpp1/2p4p/3p4/3P4/2NBPPn1/PPQ2P1P/R3K2R w KQkq -	2	62	False	83	h2g3	['h2g3']
r2qk2r/pp1nbpp1/2p4p/3p4/3P4/2NBPPn1/PPQ2P1P/R3K2R w KQkq -	3	62	False	124	h2g3	['h2g3']
r2qk2r/pp1nbpp1/2p4p/3p4/3P4/2NBPPn1/PPQ2P1P/R3K2R w KQkq -	4	62	False	165	h2g3	['h2g3']
r2qk2r/pp1nbpp1/2p4p/3p4/3P4/2NBPPn1/PPQ2P1P/R3K2R w KQkq -	5	204	False	208	h2g3	['h2g3']
r2qk2r/pp1nbpp1/2p4p/3p4/3P4/2NBPPn1/PPQ2P1P/R3K2R w KQkq -	6	127	False	365	h2g3	['h2g3', 'h6h5', 'g3g4']
r2qk2r/pp1nbpp1/2p4p/3p4/3P4/2NBPPn1/PPQ2P1P/R3K2R w KQkq -	7	207	False	607	h2g3	['h2g3', 'h6h5', 'g3g4']
r2qk2r/pp1nbpp1/2p4p/3p4/3P4/2NBPPn1/PPQ2P1P/R3K2R w KQkq -	8	979	False	1213	h2g3	['h2g3', 'h6h5', 'g3g4']
r2qk2r/pp1nbpp1/2p4p/3p4/3P4/2NBPPn1/PPQ2P1P/R3K2R w KQkq -	9	200	False	4253	h2g3	['h2g3', 'd8a5', 'e1e2', 'a5b6', 'e2f1']
r2qk2r/pp1nbpp1/2p4p/3p4/3P4/2NBPPn1/PPQ2P1P/R3K2R w KQkq -	10	137	False	18962	h2g3	['h2g3', 'g7g6', 'e1c1', 'd8a5', 'e3e4', 'd5e4', 'f3e4', 'e8c8', 'c1b1', 'c8b8', 'e4e5', 'd7f8']
5k2/8/3q1r1p/2pPpBn1/1p2Pp1R/rP1P1P2/1Q4K1/6R1 w - -	1	76	False	50	h4h5	['h4h5']
5k2/8/3q1r1p/2pPpBn1/1p2Pp1R/rP1P1P2/1Q4K1/6R1 w - -	2	169	False	97	g1b1	['g1b1']
5k2/8/3q1r1p/2pPpBn1/1p2Pp1R/rP1P1P2/1Q4K1/6R1 w - -	3	225	False	140	h4h5	['h4h5']
5k2/8/3q1r1p/2pPpBn1/1p2Pp1R/rP1P1P2/1Q4K1/6R1 w - -	4	242	False	183	g1b1	['g1b1']
5k2/8/3q1r1p/2pPpBn1/1p2Pp1R/rP1P1P2/1Q4K1/6R1 w - -	5	257	False	230	g1b1	['g1b1']
5k2/8/3q1r1p/2pPpBn1/1p2Pp1R/rP1P1P2/1Q4K1/6R1 w - -	6	257	False	273	g1b1	['g1b1', 'c5c4', 'd3c4']
5k2/8/3q1r1p/2pPpBn1/1p2Pp1R/rP1P1P2/1Q4K1/6R1 w - -	7	94	False	1401	h4h2	['h4h2', 'a3a6', 'g1a1']
5k2/8/3q1r1p/2pPpBn1/1p2Pp1R/rP1P1P2/1Q4K1/6R1 w - -	8	26	False	6937	g1c1	['g1c1', 'f6f7', 'h4h5', 'f7a7']
5k2/8/3q1r1p/2pPpBn1/1p2Pp1R/rP1P1P2/1Q4K1/6R1 w - -	9	3	False	16951	f5g4	['f5g4', 'f6g6', 'g2h1', 'g5f7', 'g1g2']
5k2/8/3q1r1p/2pPpBn1/1p2Pp1R/rP1P1P2/1Q4K1/6R1 w - -	10	92	False	20491	f5g4	['f5g4', 'f6g6', 'g2h1', 'g5f7']
r1b2rk1/ppq2pbp/2pp1np1/2n1p3/2P5/1PNP1NP1/PBQ1PPBP/R4RK1 w - -	1	36	False	41	b3b4	['b3b4']
r1b2rk1/ppq2pbp/2pp1np1/2n1p3/2P5/1PNP1NP1/PBQ1PPBP/R4RK1 w - -	2	115	False	102	a2a4	['a2a4']
r1b2rk1/ppq2pbp/2pp1np1/2n1p3/2P5/1PNP1NP1/PBQ1PPBP/R4RK1 w - -	3	115	False	176	a2a4	['a2a4']
r1b2rk1/ppq2pbp/2pp1np1/2n1p3/2P5/1PNP1NP1/PBQ1PPBP/R4RK1 w - -	4	115	False	223	a2a4	['a2a4']
r1b2rk1/ppq2pbp/2pp1np1/2n1p3/2P5/1PNP1NP1/PBQ1PPBP/R4RK1 w - -	5	101	False	599	a2a4	['a2a4', 'a7a6']
r1b2rk1/ppq2pbp/2pp1np1/2n1p3/2P5/1PNP1NP1/PBQ1PPBP/R4RK1 w - -	6	109	False	749	b3b4	['b3b4', 'c5e6', 'a2a4']
r1b2rk1/ppq2pbp/2pp1np1/2n1p3/2P5/1PNP1NP1/PBQ1PPBP/R4RK1 w - -	7	109	False	958	b3b4	['b3b4', 'c5e6', 'a2a4']
r1b2rk1/ppq2pbp/2pp1np1/2n1p3/2P5/1PNP1NP1/PBQ1PPBP/R4RK1 w - -	8	109	False	1650	b3b4	['b3b4', 'c5e6', 'a2a4', 'a7a6']
r1b2rk1/ppq2pbp/2pp1np1/2n1p3/2P5/1PNP1NP1/PBQ1PPBP/R4RK1 w - -	9	70	False	7528	b3b4	['b3b4', 'c5e6', 'e2e3', 'd6d5', 'c4d5', 'c6d5']
r1b2rk1/ppq2pbp/2pp1np1/2n1p3/2P5/1PNP1NP1/PBQ1PPBP/R4RK1 w - -	10	76	False	10789	b3b4	['b3b4', 'c5e6', 'a2a4', 'e6d4', 'f3d4', 'e5d4', 'c3b1']
r4rk1/pppbq1b1/n2p3p/3Pp1pP/2P1N1P1/4B3/PP2BP2/R2QK2R w KQ -	1	96	False	49	d1c2	['d1c2']
r4rk1/pppbq1b1/n2p3p/3Pp1pP/2P1N1P1/4B3/PP2BP2/R2QK2R w KQ -	2	139	False	136	a2a3	['a2a3']
r4rk1/pppbq1b1/n2p3p/3Pp1pP/2P1N1P1/4B3/PP2BP2/R2QK2R w KQ -	3	139	False	200	a2a3	['a2a3']
r4rk1/pppbq1b1/n2p3p/3Pp1pP/2P1N1P1/4B3/PP2BP2/R2QK2R w KQ -	4	139	False	259	a2a3	['a2a3']
r4rk1/pppbq1b1/n2p3p/3Pp1pP/2P1N1P1/4B3/PP2BP2/R2QK2R w KQ -	5	160	False	371	d1d3	['d1d3', 'b7b6', 'd3c2']
r4rk1/pppbq1b1/n2p3p/3Pp1pP/2P1N1P1/4B3/PP2BP2/R2QK2R w KQ -	6	141	False	711	a2a3	['a2a3', 'a6c5', 'e3c5', 'd6c5']
r4rk1/pppbq1b1/n2p3p/3Pp1pP/2P1N1P1/4B3/PP2BP2/R2QK2R w KQ -	7	169	False	1135	d1d3	['d1d3', 'd7c8', 'd3c2']
r4rk1/pppbq1b1/n2p3p/3Pp1pP/2P1N1P1/4B3/PP2BP2/R2QK2R w KQ -	8	137	False	4159	a2a3	['a2a3', 'a6c5', 'e3c5', 'd6c5', 'd1d3', 'f8f4', 'e1c1']
r4rk1/pppbq1b1/n2p3p/3Pp1pP/2P1N1P1/4B3/PP2BP2/R2QK2R w KQ -	9	154	False	5596	d1b1	['d1b1', 'a6c5', 'e3c5', 'd6c5', 'b1d3', 'f8f4', 'f2f3']
r4rk1/pppbq1b1/n2p3p/3Pp1pP/2P1N1P1/4B3/PP2BP2/R2QK2R w KQ -	10	167	False	7262	d1b1	['d1b1', 'a6c5', 'e3c5', 'd6c5', 'f2f3', 'f8f4', 'b1d3']
8/p5R1/3k2p1/P1b4p/5P1P/6r1/3BK3/8 w - -	1	37	False	23	f4f5	['f4f5']
8/p5R1/3k2p1/P1b4p/5P1P/6r1/3BK3/8 w - -	2	37	False	69	f4f5	['f4f5']
8/p5R1/3k2p1/P1b4p/5P1P/6r1/3BK3/8 w - -	3	37	False	194	f4f5	['f4f5']
8/p5R1/3k2p1/P1b4p/5P1P/6r1/3BK3/8 w - -	4	37	False	260	f4f5	['f4f5']
8/p5R1/3k2p1/P1b4p/5P1P/6r1/3BK3/8 w - -	5	43	False	587	f4f5	['f4f5', 'g3g2', 'e2d3']
8/p5R1/3k2p1/P1b4p/5P1P/6r1/3BK3/8 w - -	6	43	False	688	f4f5	['f4f5', 'g3g2', 'e2d3']
8/p5R1/3k2p1/P1b4p/5P1P/6r1/3BK3/8 w - -	7	48	False	1085	f4f5	['f4f5', 'g3g2', 'e2d3']
8/p5R1/3k2p1/P1b4p/5P1P/6r1/3BK3/8 w - -	8	50	False	1314	f4f5	['f4f5', 'g3g2', 'e2d3', 'g2g3', 'd3c2']
8/p5R1/3k2p1/P1b4p/5P1P/6r1/3BK3/8 w - -	9	184	False	2209	f4f5	['f4f5', 'g3g2', 'e2d3']
8/p5R1/3k2p1/P1b4p/5P1P/6r1/3BK3/8 w - -	10	55	False	6666	f4f5	['f4f5', 'g3g2', 'e2d3', 'g2g3', 'd3c2', 'g3g4', 'f5g6', 'g4h4', 'g7g8', 'h4g4']
rnbqkbnr/pp2pppp/2p5/3p4/3PP3/8/PPP2PPP/RNBQKBNR w KQkq -	1	36	False	50	e4e5	['e4e5']
rnbqkbnr/pp2pppp/2p5/3p4/3PP3/8/PPP2PPP/RNBQKBNR w KQkq -	2	50	False	138	e4d5	['e4d5']
rnbqkbnr/pp2pppp/2p5/3p4/3PP3/8/PPP2PPP/RNBQKBNR w KQkq -	3	80	False	203	e4e5	['e4e5']
rnbqkbnr/pp2pppp/2p5/3p4/3PP3/8/PPP2PPP/RNBQKBNR w KQkq -	4	80	False	243	e4e5	['e4e5']
rnbqkbnr/pp2pppp/2p5/3p4/3PP3/8/PPP2PPP/RNBQKBNR w KQkq -	5	137	False	432	f2f3	['f2f3', 'd5e4', 'f3e4']
rnbqkbnr/pp2pppp/2p5/3p4/3PP3/8/PPP2PPP/RNBQKBNR w KQkq -	6	177	False	717	e4e5	['e4e5', 'd8a5', 'b1c3']
rnbqkbnr/pp2pppp/2p5/3p4/3PP3/8/PPP2PPP/RNBQKBNR w KQkq -	7	87	False	1489	e4e5	['e4e5', 'c6c5', 'd4c5']
rnbqkbnr/pp2pppp/2p5/3p4/3PP3/8/PPP2PPP/RNBQKBNR w KQkq -	8	116	False	1966	e4e5	['e4e5', 'c6c5', 'c2c3']
rnbqkbnr/pp2pppp/2p5/3p4/3PP3/8/PPP2PPP/RNBQKBNR w KQkq -	9	116	False	2762	e4e5	['e4e5', 'c6c5', 'c2c3', 'c5d4', 'c3d4']
rnbqkbnr/pp2pppp/2p5/3p4/3PP3/8/PPP2PPP/RNBQKBNR w KQkq -	10	70	False	10432	e4e5	['e4e5', 'c8f5', 'c2c4', 'h7h6', 'c4d5', 'c6d5']
