FN:  ../mega-clean.pgn
2565000 12288.0s
2570000 12314.0s
2575000 12339.9s
2580000 12365.7s
2585000 12391.7s
2590000 12417.4s
2595000 12442.9s
2600000 12467.9s
2605000 12494.3s
2610000 12520.6s
2615000 12546.1s
2620000 12571.0s
2625000 12595.9s
2630000 12621.1s
2635000 12645.0s
2640000 12670.8s
2645000 12697.1s
2650000 12722.8s
2655000 12748.9s
2660000 12774.7s
2665000 12800.9s
2670000 12826.9s
2675000 12853.4s
2680000 12879.4s
2685000 12905.5s
2690000 12931.1s
2695000 12956.3s
2700000 12981.7s
2705000 13007.0s
2710000 13033.8s
2715000 13059.1s
2720000 13084.3s
2725000 13111.1s
2730000 13136.4s
2735000 13163.9s
2740000 13191.1s
2745000 13217.9s
2750000 13244.3s
2755000 13270.6s
2760000 13297.1s
2765000 13323.8s
2770000 13351.0s
2775000 13377.7s
2780000 13403.5s
2785000 13431.4s
2790000 13456.8s
2795000 13482.1s
2800000 13508.3s
2805000 13533.4s
2810000 13559.9s
2815000 13585.6s
2820000 13610.4s
2825000 13634.2s
2830000 13657.7s
2835000 13681.3s
2840000 13705.2s
2845000 13728.5s
2850000 13752.0s
2855000 13776.5s
2860000 13800.3s
2865000 13824.1s
2870000 13847.9s
2875000 13872.4s
2880000 13896.7s
2885000 13920.6s
2890000 13946.0s
2895000 13970.3s
2900000 13994.7s
2905000 14018.8s
2910000 14044.0s
2915000 14069.6s
2920000 14093.9s
2925000 14119.2s
2930000 14143.9s
2935000 14168.0s
2940000 14192.9s
2945000 14217.9s
2950000 14242.1s
2955000 14266.6s
2960000 14291.6s
2965000 14315.8s
2970000 14340.6s
2975000 14365.7s
2980000 14390.1s
2985000 14414.6s
2990000 14439.5s
2995000 14464.4s
3000000 14488.4s
3005000 14513.4s
3010000 14538.3s
3015000 14562.6s
3020000 14587.9s
3025000 14612.3s
3030000 14638.0s
3035000 14663.8s
3040000 14688.4s
3045000 14713.1s
3050000 14737.2s
3055000 14761.0s
3060000 14785.2s
3065000 14809.5s
3070000 14833.8s
3075000 14858.7s
3080000 14883.3s
3085000 14908.0s
3090000 14933.1s
3095000 14957.8s
3100000 14982.1s
3105000 15007.4s
3110000 15032.3s
3115000 15058.4s
3120000 15083.6s
3125000 15108.5s
3130000 15133.5s
3135000 15158.8s
3140000 15184.3s
3145000 15210.8s
3150000 15237.0s
3155000 15263.5s
3160000 15290.5s
3165000 15316.1s
3170000 15342.1s
3175000 15368.1s
3180000 15394.3s
3185000 15419.7s
3190000 15445.6s
3195000 15471.6s
3200000 15497.3s
3205000 15523.2s
3210000 15549.2s
3215000 15575.3s
3220000 15601.7s
3225000 15627.9s
3230000 15653.6s
3235000 15679.7s
3240000 15705.6s
3245000 15732.1s
3250000 15758.0s
3255000 15783.9s
3260000 15810.2s
3265000 15836.8s
3270000 15862.8s
3275000 15889.3s
3280000 15916.7s
3285000 15943.5s
3290000 15969.6s
3295000 15995.8s
3300000 16022.5s
3305000 16048.5s
3310000 16075.3s
3315000 16100.8s
3320000 16127.4s
3325000 16154.8s
3330000 16180.8s
3335000 16206.8s
3340000 16232.6s
3345000 16258.5s
3350000 16284.4s
3355000 16310.3s
3360000 16336.1s
3365000 16362.1s
3370000 16388.5s
3375000 16415.1s
3380000 16441.1s
3385000 16466.3s
3390000 16493.0s
3395000 16519.3s
3400000 16545.1s
3405000 16572.0s
3410000 16598.0s
3415000 16626.2s
3420000 16653.7s
3425000 16680.2s
3430000 16707.1s
3435000 16733.2s
3440000 16758.8s
3445000 16785.4s
3450000 16813.5s
3455000 16841.4s
3460000 16868.9s
3465000 16895.0s
3470000 16920.8s
3475000 16947.2s
3480000 16973.9s
3485000 17000.2s
3490000 17026.6s
3495000 17053.2s
3500000 17079.6s
3505000 17105.7s
3510000 17131.8s
3515000 17158.6s
3520000 17184.7s
3525000 17211.1s
3530000 17236.9s
3535000 17263.2s
3540000 17289.7s
3545000 17316.3s
3550000 17342.4s
3555000 17368.6s
3560000 17394.6s
3565000 17418.0s
3570000 17443.9s
3575000 17470.3s
3580000 17496.2s
3585000 17521.7s
3590000 17547.7s
3595000 17573.8s
3600000 17600.2s
3605000 17627.5s
3610000 17654.4s
3615000 17680.7s
3620000 17707.1s
3625000 17733.6s
3630000 17762.9s
3635000 17788.9s
3640000 17815.4s
3645000 17841.4s
3650000 17868.4s
3655000 17894.7s
3660000 17919.9s
3665000 17948.4s
3670000 17976.2s
3675000 18003.8s
3680000 18029.8s
3685000 18057.8s
3690000 18085.6s
3695000 18113.1s
3700000 18138.9s
3705000 18165.2s
3710000 18192.5s
3715000 18219.5s
3720000 18245.4s
3725000 18272.3s
3730000 18299.4s
3735000 18326.3s
3740000 18352.8s
3745000 18379.6s
3750000 18406.3s
3755000 18433.1s
3760000 18459.4s
3765000 18485.8s
3770000 18512.5s
3775000 18538.5s
3780000 18565.4s
3785000 18593.0s
3790000 18620.2s
3795000 18646.9s
3800000 18673.9s
3805000 18700.9s
3810000 18727.7s
3815000 18754.8s
3820000 18781.8s
3825000 18809.2s
3830000 18837.5s
3835000 18865.5s
3840000 18892.7s
3845000 18919.7s
3850000 18946.2s
3855000 18973.1s
3860000 19000.4s
3865000 19027.3s
3870000 19054.1s
3875000 19080.0s
3880000 19105.8s
3885000 19132.9s
3890000 19160.4s
3895000 19186.8s
3900000 19213.3s
3905000 19238.6s
3910000 19265.1s
3915000 19292.6s
3920000 19319.3s
3925000 19347.0s
3930000 19373.6s
3935000 19399.0s
3940000 19426.4s
3945000 19453.4s
3950000 19480.1s
3955000 19507.0s
3960000 19534.3s
3965000 19561.5s
3970000 19588.8s
3975000 19616.2s
3980000 19642.8s
3985000 19669.8s
3990000 19697.2s
3995000 19724.5s
4000000 19750.9s
4005000 19777.4s
4010000 19804.4s
4015000 19831.6s
4020000 19858.3s
4025000 19884.7s
4030000 19910.5s
4035000 19937.7s
4040000 19965.2s
4045000 19992.3s
4050000 20018.2s
4055000 20044.5s
4060000 20070.4s
4065000 20096.5s
4070000 20123.3s
4075000 20150.4s
4080000 20177.3s
4085000 20204.1s
4090000 20231.1s
4095000 20258.3s
4100000 20285.3s
4105000 20312.3s
4110000 20339.5s
4115000 20366.6s
4120000 20394.5s
4125000 20421.9s
4130000 20448.8s
4135000 20475.7s
4140000 20502.0s
4145000 20529.0s
4150000 20555.3s
4155000 20582.2s
4160000 20609.3s
4165000 20636.8s
4170000 20663.1s
4175000 20690.1s
4180000 20717.2s
4185000 20745.1s
4190000 20771.3s
4195000 20798.2s
4200000 20825.4s
4205000 20852.3s
4210000 20879.9s
4215000 20906.8s
4220000 20933.8s
4225000 20961.7s
4230000 20988.9s
4235000 21016.0s
4240000 21043.2s
4245000 21070.4s
4250000 21097.4s
4255000 21123.9s
4260000 21150.5s
4265000 21177.2s
4270000 21203.9s
4275000 21230.8s
4280000 21257.9s
4285000 21284.5s
4290000 21312.9s
4295000 21339.8s
4300000 21367.1s
4305000 21394.5s
4310000 21421.9s
4315000 21449.2s
4320000 21476.1s
4325000 21502.6s
4330000 21529.5s
4335000 21556.6s
4340000 21583.7s
4345000 21610.6s
4350000 21634.8s
4355000 21659.1s
4360000 21683.0s
4365000 21706.5s
4370000 21729.9s
4375000 21753.0s
4380000 21776.9s
4385000 21801.1s
4390000 21825.4s
4395000 21849.1s
4400000 21873.7s
4405000 21897.4s
4410000 21921.5s
4415000 21945.8s
4420000 21971.0s
4425000 21995.3s
4430000 22019.3s
4435000 22043.1s
4440000 22066.9s
4445000 22090.7s
4450000 22114.6s
4455000 22138.4s
4460000 22162.7s
4465000 22186.5s
4470000 22212.0s
4475000 22236.8s
4480000 22261.3s
4485000 22286.5s
4490000 22311.4s
4495000 22335.5s
4500000 22359.4s
4505000 22384.3s
4510000 22409.0s
4515000 22432.8s
4520000 22456.9s
4525000 22481.3s
4530000 22506.6s
4535000 22531.1s
4540000 22555.4s
4545000 22579.5s
4550000 22604.3s
4555000 22631.4s
4560000 22658.7s
4565000 22686.3s
4570000 22713.6s
4575000 22740.9s
4580000 22768.1s
4585000 22794.9s
4590000 22821.7s
4595000 22848.7s
4600000 22875.8s
4605000 22903.2s
4610000 22930.2s
4615000 22957.5s
4620000 22985.0s
4625000 23007.2s
4630000 23027.9s
4635000 23050.5s
4640000 23073.0s
short: 21
good: 1000
