../ChessOk.com/mega-clean.pgn
0 0 0.0% 0.0s
10000 10000 2.1% 20.7s
20000 20000 4.2% 41.0s
30000 30000 6.4% 62.1s
30000 62.1s
         175767872 function calls (175766556 primitive calls) in 62.177 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    10560    0.001    0.000    0.001    0.000 __init__.py:389(_carry_rippler)
       52    0.001    0.000    0.001    0.000 {built-in method io.open_code}
        1    0.001    0.001    0.001    0.001 __init__.py:419(_rays)
     75/1    0.001    0.000   62.178   62.178 {built-in method builtins.exec}
   129/32    0.001    0.000    0.002    0.000 sre_parse.py:493(_parse)
      297    0.001    0.000    0.001    0.000 {built-in method posix.stat}
       24    0.001    0.000    0.002    0.000 enum.py:179(__new__)
     1781    0.001    0.000    0.002    0.000 __init__.py:722(king)
      306    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x10530f1b0}
   228/19    0.000    0.000    0.001    0.000 sre_compile.py:71(_compile)
      147    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1514(find_spec)
      106    0.000    0.000    0.001    0.000 sre_compile.py:276(_optimize_charset)
      320    0.000    0.000    0.001    0.000 enum.py:88(__setitem__)
       33    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
     1725    0.000    0.000    0.000    0.000 sre_parse.py:233(__next)
      400    0.000    0.000    0.000    0.000 enum.py:462(__setattr__)
       52    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
      742    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:123(<listcomp>)
   278/69    0.000    0.000    0.000    0.000 sre_parse.py:174(getwidth)
      742    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:121(_path_join)
     1454    0.000    0.000    0.000    0.000 sre_parse.py:164(__getitem__)
       24    0.000    0.000    0.000    0.000 enum.py:221(<setcomp>)
      934    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
     1312    0.000    0.000    0.000    0.000 sre_parse.py:254(get)
       69    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:901(_find_spec)
      163    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:112(release)
        4    0.000    0.000    0.000    0.000 {built-in method builtins.eval}
    86/19    0.000    0.000    0.003    0.000 sre_parse.py:435(_parse_sub)
       52    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:916(get_code)
        6    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
      104    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:361(cache_from_source)
       13    0.000    0.000    0.000    0.000 enum.py:545(<listcomp>)
       66    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1383(_get_spec)
       68    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:486(_init_module_attrs)
     69/3    0.000    0.000    0.093    0.031 <frozen importlib._bootstrap>:1002(_find_and_load)
     1403    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
      163    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:166(_get_module_lock)
      163    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:87(acquire)
     68/3    0.000    0.000    0.092    0.031 <frozen importlib._bootstrap>:659(_load_unlocked)
      941    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
       52    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1036(get_data)
      320    0.000    0.000    0.000    0.000 enum.py:44(_is_private)
      192    0.000    0.000    0.000    0.000 __init__.py:385(_edges)
      801    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:231(_verbose_message)
       22    0.000    0.000    0.001    0.000 dataclasses.py:377(_create_fn)
       19    0.000    0.000    0.004    0.000 sre_compile.py:759(compile)
        4    0.000    0.000    0.000    0.000 __init__.py:345(namedtuple)
      497    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      321    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
        2    0.000    0.000    0.069    0.035 __init__.py:17(<module>)
     69/3    0.000    0.000    0.093    0.031 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
        6    0.000    0.000    0.002    0.000 dataclasses.py:809(_process_class)
       23    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
       19    0.000    0.000    0.004    0.000 re.py:289(_compile)
    68/65    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:558(module_from_spec)
      679    0.000    0.000    0.000    0.000 sre_parse.py:249(match)
     1588    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
       62    0.000    0.000    0.000    0.000 typing.py:137(_type_check)
      320    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
       61    0.000    0.000    0.000    0.000 enum.py:582(_find_data_type)
